submission_pk,User,b'<Rank>',b'\xe5\xad\x90\xe4\xbb\xbb\xe5\x8b\x99 1\xef\xbc\x9a\xe7\x97\x85\xe6\x82\xa3\xe9\x9a\xb1\xe7\xa7\x81\xe8\xb3\x87\xe8\xa8\x8a\xe6\x93\xb7\xe5\x8f\x96',b'\xe5\xad\x90\xe4\xbb\xbb\xe5\x8b\x99 2\xef\xbc\x9a\xe6\x99\x82\xe9\x96\x93\xe8\xb3\x87\xe8\xa8\x8a\xe6\xad\xa3\xe8\xa6\x8f\xe5\x8c\x96'
570923,Vik,1.00 (1),0.8616 (1),0.5958 (1),
565966,littlewen,2.00 (2),0.3430 (2),0.4231 (2),
564255,lacie,4.00 (3),0.2951 (5),0.4025 (3),
564267,a11011250,4.00 (3),0.3078 (4),0.4008 (4),
571901,ISLAB,4.00 (3),0.3415 (3),0.3700 (5),
571691,julian,6.00 (4),0.2778 (6),0.3660 (6),
